CD4.,CD8.,mono,Bcells,NK,gran
0.0524850785395088,0.0072513264299474,0.0902930930764717,-1.82074581695134e-20,0,0.849970501954072
0.170705080500597,0.0588989283411509,0.0248965828927959,0.119856724778476,0.0219166445848746,0.603726038902105
0.158016953863006,0.0823761733648569,0.0974663572134082,0.0923476726802501,0.0414128234493722,0.528380019429107
0.0868844172469569,0.0659241918772573,0.0961640567645199,0.00116888290891442,0.0548415935901294,0.695016857612222
0.134157001704202,0.115626226778926,0.0532762051781818,-1.42498221264435e-20,0.0578153376176548,0.639125228721035
0.0862705392824824,0.0252645605806323,0.0177701893334989,0.00675871529977566,0,0.863935995503611
0.0159096936974672,0.200159478630499,0.0939757966089103,0.0255349243756806,0.0218144643346483,0.642605642352795
0.103929073738763,0.099456802334744,0.0666630707656963,0.032825030088125,0.100740199348304,0.596385823724368
0.185708774629431,0.0879456025888673,0.0551779614779062,0.0210281519653802,0,0.650139509338415
0.133283581655904,0,0.0799798131758043,0.0150964054161824,0.0391335504805255,0.732506649271584
0.102527046207597,0.0437558432379643,0.114705693134757,-8.67361737988404e-19,0.0523014621064071,0.686709955313274
0.202866755616084,0.00962869090805672,0.0669802177036238,0.0320761432123147,0.0361618273753574,0.652286365184563
0.222563964596147,0.0716677800567268,0.0580608519102035,0.0503736501349389,0.116938149110785,0.480395604191198
0.184958779312308,0.143717993275067,0.0595748743394417,0.0544879701461906,0.0391366441408282,0.518123738786165
0.125822513040807,0.161458944534154,0.0518493881074807,0.0489435546213252,0.18833852281433,0.423587076881903
0.153662723512092,0.0915404599298607,0.0401108744261286,0.0603202100361403,0.0811732376594343,0.573192494436344
0.119915802884702,0.0934869055859299,0.0930799176191165,0.0233916277214996,9.2328512613054707e-05,0.670033417676139
0.065933164528679,0.0801632457418581,0.0514862090892972,0.0508790722005293,0.0307761090724175,0.720762199367219
0.150912201433826,0.190935157336639,0.069803303262438,0.0437096201131792,0.00176532775617934,0.542874390097739
0.183180840523939,0.0470581780257688,0.0441825524073882,0.0408021432003943,0,0.684776285842509
0.211276909660055,0.0727860150514012,0.0407902035868842,0.077418867092983,0,0.597728004608676
0.157229814062192,0.0470189140933859,0.0878111657994202,0.0880094143914758,0.0370705735818151,0.582860118071711
0.229317453245431,0.0724963349790906,0.0516179456308631,0.0618789026887753,0.0873273515143188,0.497362011941521
0.226076410508699,0.0586896014672535,0.0269625697319201,0.0909004726922319,0.0919583116966358,0.50541263390326
0.222527454033966,0.0313226185202834,0.0423148757166811,0.0623364030864839,0.00525861935358237,0.636240029289003
0.113961583976246,0.100642902023337,0.0417754158468546,0.0215139302755157,0.0386113047901765,0.683494863087871
0.157263786263883,0.0975366738550844,0.0265278668454322,0.0276404707826127,0.0300063732203789,0.661024829032609
0.15480609868957,0.0760799226873251,0.0479478206138252,0.0033923125029124,0.118328978790938,0.599444866715429
0.133454267962093,0.0257936978210116,0.115665693655483,0.0135665888929253,0.0106874205046096,0.700832331163877
0.147706114495055,0.135816193540667,0.0134149344050667,0.0676091133367984,0.049685198123574,0.585768446098838
0.119222558054462,0.0450413769615899,0.0766612157878894,0.0576876266095498,0.0865054143181473,0.614881808268362
0.205206546385443,0.0268763887774795,0.0500189241296012,0.06201713806085,0.15836435609854,0.497516646548086
0.140114607981931,0.0046315956620588,0.103196500650593,0.0289299830488778,0.0432441929150019,0.679883119741538
